IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.22.78.128,4,4,0.00,162.18,37.13
104.16.56.67,4,4,0.00,162.66,18.86
104.18.100.124,4,4,0.00,161.56,18.35
104.16.31.152,4,4,0.00,161.92,18.08
141.101.121.107,4,4,0.00,165.07,17.14
104.18.77.166,4,4,0.00,162.12,14.33
141.101.114.159,4,4,0.00,164.56,11.86
104.16.48.214,4,4,0.00,163.08,11.53
104.16.75.77,4,4,0.00,161.85,10.54
104.16.81.182,4,4,0.00,160.44,10.47
104.16.78.6,4,4,0.00,161.96,10.32
104.16.55.51,4,4,0.00,162.01,9.67
104.16.83.93,4,4,0.00,160.39,8.88
104.16.41.197,4,4,0.00,161.47,7.58
190.93.246.197,4,4,0.00,161.35,6.92
172.64.163.33,4,4,0.00,163.35,6.32
172.64.140.82,4,4,0.00,156.66,5.11
104.16.29.206,4,4,0.00,163.50,4.77
104.16.32.166,4,4,0.00,162.50,4.39
104.22.61.0,4,4,0.00,166.25,0.34
